date,timestamp,open,high,low,close,volume,return
2023-09-16 06:00:00,1694844000,0.524,0.5334,0.5212,0.5311,103909.07,
2023-09-16 12:00:00,1694865600,0.5303,0.5413,0.5234,0.533,187432.45,0.0035774807004331777
2023-09-16 18:00:00,1694887200,0.5329,0.5395,0.5299,0.5376,115443.64,0.008630393996247543
2023-09-17 00:00:00,1694908800,0.5377,0.538,0.5241,0.5316,144210.08,-0.011160714285714302
2023-09-17 06:00:00,1694930400,0.5319,0.5332,0.526,0.5304,34436.13,-0.0022573363431150906
2023-09-17 12:00:00,1694952000,0.5305,0.5354,0.5211,0.5211,40587.87,-0.017533936651583648
2023-09-17 18:00:00,1694973600,0.5207,0.524,0.5118,0.5206,115755.52,-0.0009595087315296125
2023-09-18 00:00:00,1694995200,0.5211,0.5299,0.5147,0.5275,48874.85,0.013253937764118318
2023-09-18 06:00:00,1695016800,0.528,0.5403,0.5245,0.5388,108106.23,0.021421800947867276
2023-09-18 12:00:00,1695038400,0.5383,0.5402,0.5263,0.5286,96899.72,-0.018930957683741645
2023-09-18 18:00:00,1695060000,0.5284,0.5398,0.5284,0.5324,67371.49,0.007188800605372636
2023-09-19 00:00:00,1695081600,0.5317,0.535,0.5288,0.5325,54387.07,0.00018782870022526765
2023-09-19 06:00:00,1695103200,0.5324,0.5471,0.5302,0.5414,66554.3,0.016713615023474127
2023-09-19 12:00:00,1695124800,0.5418,0.548,0.5374,0.5456,98015.03,0.0077576653121536054
2023-09-19 18:00:00,1695146400,0.5461,0.549,0.5401,0.5452,77684.59,-0.0007331378299119118
2023-09-20 00:00:00,1695168000,0.5452,0.5545,0.5401,0.5409,100113.96,-0.007887013939838483
2023-09-20 06:00:00,1695189600,0.5401,0.5508,0.5369,0.5415,177814.16,0.0011092623405433155
2023-09-20 12:00:00,1695211200,0.5402,0.5424,0.5313,0.5409,116452.0,-0.001108033240997064
2023-09-20 18:00:00,1695232800,0.541,0.5888,0.535,0.5527,225843.51,0.021815492697356165
2023-09-21 00:00:00,1695254400,0.5532,0.86,0.5532,0.7199,4240502.86,0.302514926723358
2023-09-21 06:00:00,1695276000,0.7209,0.73,0.6539,0.6683,2443981.77,-0.07167662175302125
2023-09-21 12:00:00,1695297600,0.6686,0.6834,0.6377,0.6382,1540841.07,-0.045039652850516254
2023-09-21 18:00:00,1695319200,0.6382,0.6864,0.6261,0.6786,1278574.35,0.06330303979943586
2023-09-22 00:00:00,1695340800,0.6778,0.6808,0.6396,0.6591,756763.3,-0.028735632183907955
2023-09-22 06:00:00,1695362400,0.6592,0.7045,0.6481,0.6652,464137.61,0.009255044758003317
2023-09-22 12:00:00,1695384000,0.6652,0.6659,0.6431,0.6499,488836.08,-0.023000601322910375
2023-09-22 18:00:00,1695405600,0.6497,0.6541,0.6411,0.6516,354326.91,0.0026157870441605446
2023-09-23 00:00:00,1695427200,0.652,0.654,0.605,0.6091,406823.47,-0.0652240638428484
2023-09-23 06:00:00,1695448800,0.6101,0.6234,0.6059,0.6111,260129.98,0.003283533081595902
2023-09-23 12:00:00,1695470400,0.6099,0.6151,0.6067,0.6112,95398.11,0.00016363933889707027
2023-09-23 18:00:00,1695492000,0.6122,0.6218,0.6113,0.6208,132759.55,0.015706806282722585
2023-09-24 00:00:00,1695513600,0.6213,0.6213,0.595,0.5988,174604.59,-0.03543814432989689
2023-09-24 06:00:00,1695535200,0.598,0.6045,0.5891,0.5951,218897.03,-0.00617902471609888
2023-09-24 12:00:00,1695556800,0.5965,0.5965,0.5809,0.5906,123161.7,-0.007561754327003789
2023-09-24 18:00:00,1695578400,0.5917,0.5978,0.5864,0.5907,202549.08,0.00016931933626818108
2023-09-25 00:00:00,1695600000,0.5908,0.6191,0.5831,0.6003,418181.12,0.016251904520060867
2023-09-25 06:00:00,1695621600,0.6002,0.6134,0.5956,0.6078,172298.25,0.012493753123438367
2023-09-25 12:00:00,1695643200,0.6067,0.6209,0.5985,0.6122,488761.51,0.007239223428759489
2023-09-25 18:00:00,1695664800,0.6122,0.6158,0.6051,0.6061,264612.31,-0.009964064031362296
2023-09-26 00:00:00,1695686400,0.606,0.606,0.5962,0.6009,244679.26,-0.008579442336248078
2023-09-26 06:00:00,1695708000,0.6013,0.6028,0.586,0.5896,159342.71,-0.018805125644866028
2023-09-26 12:00:00,1695729600,0.5889,0.5897,0.5763,0.5843,425197.72,-0.008989145183174951
2023-09-26 18:00:00,1695751200,0.5848,0.5924,0.579,0.5874,139975.55,0.005305493753208879
